year,month,day,avg_air_temp,avg_rel_hum
2018,10,5,66.8,85.5
2018,10,6,70.9,87
2018,10,7,68.9,85.7
2018,10,8,74.4,75.9
2018,10,9,74.5,77
2018,10,10,66.3,84.9
2018,10,11,47.9,66.8
2018,10,12,37.4,87.5
2018,10,13,41.9,84.8
2018,10,14,51.5,81.7
2018,10,15,42.3,78.1
2018,10,16,43.1,67
2018,10,17,45.4,63.7
2018,10,18,44.8,62.6
2018,10,19,47.4,74
2018,10,20,45.6,61.1
2018,10,21,39.7,54.7
2018,10,22,50.1,64.6
2018,10,23,48.3,54.5
2018,10,24,43.4,68.6
2018,10,25,47.1,61.3
2018,10,26,45.4,90.7
2018,10,27,47.6,79.4
2018,10,28,49.7,73
2018,10,29,47,70.9
2018,10,30,60.5,71.2
2018,10,31,53.7,81.6
2018,11,1,43.9,90.3
2018,11,2,43.3,78.6
2018,11,3,45.6,83.8
2018,11,4,49.5,86
2018,11,5,47.4,89.4
2018,11,6,47.8,75.9
2018,11,7,37.7,73.4
2018,11,8,36.6,73.2
2018,11,9,30.6,82.3
2018,11,10,24,74.1
2018,11,11,31.9,72.7
2018,11,12,33.1,79.3
2018,11,13,22.7,74.1
2018,11,14,25.2,70.8
2018,11,15,28.5,89.6
2018,11,16,32.1,85.4
2018,11,17,34.4,90
2018,11,18,35.3,90.9
2018,11,19,34.6,87.3
2018,11,20,30.3,77.5
2018,11,21,33.1,80.3
2018,11,22,36.9,83.8
2018,11,23,40.9,87.6
2018,11,24,47.1,86.3
2018,11,25,45.9,88.4
2018,11,26,28.1,83.9
2018,11,27,19.6,78.9
2018,11,28,24.1,77.4
2018,11,29,34,82.3
2018,11,30,38,86.6
2018,12,1,49.5,94.2
2018,12,2,41.7,86.5
2018,12,3,33.6,89.5
2018,12,4,29,83.7
2018,12,5,28.6,82
2018,12,6,28.8,86.9
2018,12,7,20.9,81.9
2018,12,8,20.8,76.2
2018,12,9,23.6,78.6
2018,12,10,20.5,92.1
2018,12,11,31.1,78
2018,12,12,36.8,81.5
2018,12,13,37.1,95.6
2018,12,14,42.3,97.5
